Epoch,Train Loss,Train Acc (%),Test Loss,Test Acc (%)
1,0.6712620257218679,75.425,0.5313534599065781,81.12
2,0.44645777370134987,83.92833333333334,0.4813044692158699,82.15
3,0.4069140721321106,85.3,0.4199944470882416,84.84
4,0.37847080788612364,86.31166666666667,0.39867598924636843,85.28999999999999
5,0.3562219564437866,86.90666666666667,0.39257758584022523,85.81
6,0.4148257091363271,85.14,0.39410999307632444,85.97
7,0.37890172885258994,86.29166666666667,0.3919461760997772,85.8
8,0.36139490542411806,87.12833333333333,0.39794438419342043,85.55
9,0.3460208934942881,87.515,0.39750758590698243,86.04
10,0.38627373218536376,86.11,0.42883120028972627,84.6
11,0.3497367966334025,87.20166666666667,0.3868510708808899,86.35000000000001
12,0.32828497381210325,88.175,0.3677358867406845,87.03
13,0.36826523246765136,86.51166666666667,0.3711618591785431,86.92999999999999
14,0.3197301782766978,88.40333333333334,0.3728259223937988,86.42999999999999
15,0.3085576684792837,88.66000000000001,0.36973175258636476,86.83999999999999
16,0.2964461062749227,89.24166666666666,0.37318576431274414,86.83
17,0.3448533579190572,87.445,0.3921825182437897,86.19
18,0.29229425212542215,89.35499999999999,0.349754176235199,87.41
19,0.28100445936520896,89.725,0.35795446887016297,87.94
20,0.26833476127783457,90.075,0.35796031458377836,87.28
